#bugNames	pValuesTime	pValuesVolume	pValuesGroup	pValuesFobVsDIO	pValuesFobVsHCCR	pValuesFobVsLCCR	pValuesFobVsICR	pValuesHCCRVsLCCR	pValuesLog10VolumeWithDirection	bugIndex	corCoeffVolumeBug	pValuesAdjustedTime	pValuesAdjustedVolume	pValuesAdjustedGroup	pValuesFobVsDIOAdjusted	pValuesFobVsHCCRAdjusted	pValuesFobVsLCCRAdjusted	pValuesFobVsICRAdjusted	pValuesHCCRVsICCRAdjusted
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.282515367	0.017518562	8.66E-15	0.650938828	0.499375735	0.006160413	1.36E-05	0.0004972	1.756501554	170	-0.14513168	0.927934024	0.186671001	3.91E-12	0.826784765	0.810896961	0.108381501	0.001493311	0.081544218
"Bacteria, Bacteroidetes, Bacteroidia, NA, NA, NA"	0.549552434	0.010254389	3.00E-13	0.277605803	0.585967212	0.053315919	2.65E-05	0.032369495	1.989090206	43	-0.166426022	0.955974921	0.119551941	6.77E-11	0.599003323	0.85615367	0.276384823	0.001493311	0.447228016
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, NA"	0.653375968	0.658711784	1.33E-12	0.001062352	0.847255303	0.013167161	0.00010355	0.017075096	-0.181304567	14	0.029078007	0.966139546	0.884917056	2.00E-10	0.119514609	0.965866238	0.136395521	0.003592373	0.438610926
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.824710499	0.000210533	3.98E-11	0.245271458	0.243413271	0.006130621	5.01E-06	0.050425686	3.676679936	4	-0.262247907	0.990516246	0.008631851	3.85E-09	0.560264753	0.651999832	0.108381501	0.001129168	0.512216184
"Bacteria, Firmicutes, Clostridia, Clostridiales, Family_XIII, Family_XIII_AD3011_group"	0.763692818	0.969339772	4.27E-11	0.433445735	0.764403307	0.812713665	5.15E-05	0.946676915	0.013523968	494	-0.002797403	0.990516246	0.999547657	3.85E-09	0.710334125	0.924808725	0.903850289	0.002254666	0.985900242
"Bacteria, Proteobacteria, NA, NA, NA, NA"	0.954559245	0.394818086	7.38E-11	0.01362409	0.241928641	0.011026105	5.01E-05	0.261852356	0.403602961	56	-0.058209205	0.990516246	0.741451395	5.55E-09	0.217351897	0.651903523	0.12431933	0.002254666	0.713710215
"Bacteria, Firmicutes, NA, NA, NA, NA"	0.318735917	0.452451558	1.74E-09	0.149700759	0.745320329	0.529524119	0.000678341	0.314397882	-0.344427912	372	0.060591526	0.927934024	0.767126514	1.12E-07	0.473463124	0.924808725	0.767538225	0.011330811	0.741097809
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter"	0.608888917	6.08E-05	2.55E-09	0.344507799	0.152453346	0.000552429	1.54E-05	0.079413707	4.216285007	2	-0.301798049	0.958706655	0.005481779	1.29E-07	0.632337966	0.535968795	0.049829067	0.001493311	0.576954999
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, NA"	0.764140472	0.028523922	2.57E-09	0.121863429	0.531922182	0.010829891	0.000905086	0.038319389	1.544790765	7	-0.162302806	0.990516246	0.252240954	1.29E-07	0.470267039	0.819743089	0.12431933	0.014578346	0.492677855
"Bacteria, NA, NA, NA, NA, NA"	0.489874404	0.18763251	3.82E-09	NA	NA	0.16433753	0.000116412	0.16433753	0.726691911	409	-0.097910035	0.950495723	0.528689056	1.72E-07	NA	NA	0.475112382	0.003750118	0.661688018
