#bugNames	pValuesTime	pValuesTumor	pValuesGroup	bugIndex	pValuesFobVsSG	pValuesFobVsDIO	pValuesLog10VolumeWithDirection	corCoeffVolumeBug	pValuesAdjustedTime	pValuesAdjustedTumor	pValuesAdjustedGroup	pValuesFobVsSGAdjusted	pValuesFobVsDIOAdjusted
"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae_1, Clostridium_sensu_stricto_1"	0.594639915	3.56E-07	2.97E-09	13	0.343436396	NA	6.448668334	-0.417064657	0.646347734	8.90E-06	7.42E-08	0.985804826	0.985804826
"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Turicibacter"	0.407582809	0.000347963	4.54E-06	8	0.079192357	0.027063572	3.458467203	-0.35700311	0.498297211	0.00289969	5.68E-05	0.79192357	0.79192357
"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, Romboutsia"	0.000125035	1.62E-06	2.14E-05	9	0.034363744	2.87E-08	5.791059312	-0.476852557	0.000390735	2.02E-05	0.000178341	0.687274883	0.687274883
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Harryflintia"	0.224051432	0.003668041	0.000295098	62	NA	NA	2.435565867	-0.380395767	0.329487399	0.022925254	0.001844364	NA	NA
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter"	0.665961985	0.005417274	0.002678049	35	0.611150907	0.833403245	2.2662192	-0.392447128	0.693710401	0.02708637	0.013390244	0.985804826	0.985804826
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter"	3.70E-06	0.031765478	0.023505954	2	0.88927534	0.735499128	1.498044605	-0.224635913	1.54E-05	0.132356158	0.097941476	0.985804826	0.985804826
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Harryflintia"	0.000193275	0.07865387	0.042535747	47	0.547698455	0.363217468	1.104279902	-0.199589078	0.000536876	0.20923243	0.14092878	0.985804826	0.985804826
"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, NA, NA"	0.024557798	0.0812044	0.04509721	26	0.865936879	0.363217468	1.090420441	-0.230406408	0.04385321	0.20923243	0.14092878	0.985804826	0.985804826
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter"	0.000319583	0.477979362	0.050869822	3	0.255076406	0.662584088	0.320590855	-0.083760654	0.000726326	0.616653544	0.141305062	0.985804826	0.985804826
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Eggerthellaceae, Enterorhabdus"	0	0.429600682	0.057575757	25	NA	NA	-0.366935038	0.044828658	0	0.616653544	0.141721552	NA	NA
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter"	0.000255011	0.493322835	0.062357483	4	0.374946115	0.662230349	0.306868781	-0.080471173	0.000637527	0.616653544	0.141721552	0.985804826	0.985804826
"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, NA, NA"	0.189982222	0.407382079	0.117381876	12	0.985804826	0.998455881	0.38999808	-0.107358197	0.296847222	0.616653544	0.242175112	0.985804826	0.985804826
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Eggerthellaceae, Denitrobacterium"	8.20E-10	0.209176233	0.125931058	46	NA	NA	0.679487663	-0.118309652	5.12E-09	0.475400529	0.242175112	NA	NA
"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Candidatus_Stoquefichus"	0.50101957	0.046938405	0.157041443	23	0.308550527	0.414818643	-1.328471669	0.261353927	0.569340421	0.167637162	0.269369517	0.985804826	0.985804826
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes"	9.94E-05	0.804448267	0.163648767	5	0.976160463	0.563478733	-0.094501879	0.046390951	0.000355177	0.87440029	0.269369517	0.985804826	0.985804826
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, NA"	0.307278895	0.083692972	0.172396491	42	0.882428161	0.686382172	1.077311009	-0.227130457	0.426776242	0.20923243	0.269369517	0.985804826	0.985804826
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Phocea"	4.53E-07	0.957100991	0.208360056	15	0.944805413	0.375203371	0.019042234	-0.035069648	2.27E-06	0.957100991	0.306411847	0.985804826	0.985804826
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Eggerthellaceae, Enterorhabdus"	0	0.482202667	0.220846242	22	NA	NA	-0.316770392	0.033139069	0	0.616653544	0.306730892	NA	NA
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Eggerthellaceae, Adlercreutzia"	2.02E-14	0.420473252	0.350278997	37	NA	NA	-0.376261626	0.054174229	1.68E-13	0.616653544	0.460893418	NA	NA
"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiales_vadinBB60_group, NA"	0.001850728	0.45062969	0.390643034	11	0.98201249	0.617207952	0.346180198	-0.099963398	0.003855684	0.616653544	0.486569904	0.985804826	0.985804826
"Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia"	0.418569657	0.285152926	0.40871872	6	0.520300655	0.484877805	0.544922168	-0.156247777	0.498297211	0.594068595	0.486569904	0.985804826	0.985804826
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Atopobiaceae, Coriobacteriaceae_UCG-003"	0.359170063	0.539968963	0.72569231	24	0.560608012	0.772752355	0.267631202	-0.088843636	0.472592189	0.642820195	0.823173512	0.985804826	0.985804826
"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Erysipelatoclostridium"	0.75013051	0.859198678	0.757319631	7	0.532617678	0.442427272	-0.0659064	0.044187822	0.75013051	0.894998623	0.823173512	0.985804826	0.985804826
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, NA"	0.109644556	0.598543445	0.863910854	21	0.752427622	0.989680267	0.222904321	-0.07212446	0.182740927	0.680163006	0.899907139	0.985804826	0.985804826
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium_5"	0.004913903	0.394942758	0.943276122	41	0.509653615	0.697646936	-0.403465845	0.112443735	0.009449813	0.616653544	0.943276122	0.985804826	0.985804826
