id	IER_Control_DIO	IER_Control_FOb	IER_Control_HCCR	IER_Control_ICR	IER_Control_LCCR	IER_DIO_FOb	IER_DIO_HCCR	IER_DIO_ICR	IER_DIO_LCCR	IER_FOb_HCCR	IER_FOb_ICR	IER_FOb_LCCR	IER_HCCR_ICR	IER_HCCR_LCCR	IER_ICR_LCCR	Sleeve_Control_DIO	Sleeve_Control_FOb	Sleeve_Control_SG	Sleeve_DIO_FOb	Sleeve_DIO_SG	Sleeve_FOb_SG
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	2.828083324	-1.047087795	-1.028079471	-1.592721464	-1.304951097	-5.843959936	-5.543855506	-6.288386609	-5.664490105	-0.039095022	-0.41305596	-0.250359839	-0.318307082	-0.184566392	0.083396403	0.714928365	-0.023757947	-0.010678444	-0.497102785	-0.70526172	0.017402342
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	-2.035196946	-1.077971655	-1.471963176	-1.61534444	-2.355780372	0.247549136	0.448470165	0.497123423	0.04534545	0.063164797	0.074488028	-0.217569352	0.010738964	-0.448113438	-0.513888871	-0.974841787	-0.120960058	-0.20537973	0.826174816	0.719315107	-0.073358194
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	0.931946544	1.871426	-0.974494464	-0.837190774	-0.185155454	0.346682694	-2.288552067	-2.178464908	-1.26601966	-3.624863356	-3.570600226	-2.334311952	0.139826231	0.630258135	0.484938432	-1.165066821	0.284257719	-1.799616133	0.71460833	-0.20056844	-0.820807362
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__PrevotellaNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.205855276	-0.491099253	-0.094236696	-0.65188591	-0.304054349	0.370998191
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	-4.97076283	-0.549544295	3.868415756	3.580979733	2.091254769	2.783905502	9.995524256	10.19870843	9.255380478	4.605945314	4.317575352	2.938078993	-0.17772335	-1.320933911	-0.986252942	0.009933751	0.591806052	1.081779055	0.484079925	0.617205083	-0.04405932
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus	0.113091149	-1.005123938	-1.902588852	-1.565683994	-1.818134814	-1.193050911	-2.528663326	-1.968955443	-2.405223053	0.007159828	-0.006005757	0.013323395	-0.017935572	0.009108154	0.025960792NA	NA	NA	NA	NA	NA	
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	5.188692201	1.424828095	4.050774398	4.53533545	4.686759776	-2.620436292	-3.230167243	-3.295916833	-1.577171979	0.015572954	2.88E-5	0.836335928	-0.037212577	1.43508829	1.582832422	8.219651859	3.312085111	9.084875165	-0.555605194	-0.464153682	0.503759103
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	-3.559144517	-0.319363338	1.612665079	3.186155023	0.707657803	1.724315899	7.457927044	9.828962226	5.40392598	1.865675087	3.009481485	1.085702501	0.783596695	-0.436549998	-1.4980546	-3.736341652	-3.677481233	-1.233157835	0.105115497	1.067598422	0.947593978
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	-5.282544307	-0.629793605	0.004962798	-0.003597191	0.029417962	3.974952638	4.852235292	5.097157967	5.840634753	0.570033605	0.588184275	0.777979438	-0.008160335	0.020994932	0.032151229	0.108342892	0.854639224	-0.256840766	0.303847469	-0.279301363	-1.112474178
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	7.725495582	-0.905632735	-5.354713015	-6.179470814	-3.771102644	-8.816360396	-11.0486468	-11.358752	-11.4733053	-2.228240537	-2.892423342	-1.319244558	-0.657046408	0.453423367	1.095514883	3.099351889	0.634414091	1.473614419	-2.649835465	-1.74847182	0.674827798
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis	0.15178389	0.110166328	0.13389812	0.120632707	0.206334537	-0.053208359	-0.029596869	-0.046148552	0.005041078	0.024791503	0.00828411	0.079294996	-0.01683186	0.045450109	0.070090568	1.441494624	0.931368447	0.503744359	-0.448650434	-1.371968508	-0.433240314
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	-2.532973424	-0.538536205	2.848027475	2.502129455	2.501099872	1.285341834	8.734269032	7.120727371	7.690291666	4.343251117	3.830884333	3.908289704	0.047296889	-0.033708773	-0.075220968	-1.915662907	-0.097106971	1.455066916	1.92508753	3.284348478	1.700158607
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__.g__	0.479735619	0.088648252	-1.586895741	-2.191950202	-2.130136861	-0.478606929	-2.142829092	-3.490970675	-2.457639874	-1.775118528	-2.69010431	-2.238032654	0.159041839	-0.643476965	-0.936457493NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	-2.143537565	2.202083437	-0.023994736	2.692350927	0.148746903	5.494206627	2.618826678	6.357584632	2.79472035	-2.823183959	-0.115788967	-2.046534863	4.69308445	0.233129201	-2.740556141	-1.181365366	-0.562719892	-0.099258305	0.537239784	1.096682812	0.453658378
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	1.833244971	0.209672671	1.669469151	0.744847133	0.367823258	-1.353416537	-0.157476013	-1.020841609	-1.192559758	1.193905308	0.383168914	0.109881832	-0.807800817	-1.021776554	-0.227141436	-0.334370335	-1.607181158	-0.703412872	-0.725231729	-0.155908249	0.501772747
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other	0.858009994	0.783587686	0.085766403	0.689289168	-0.293614693	-0.087693744	-0.734304502	-0.257973754	-1.862470783	-0.656059258	-0.154351071	-1.945233916	0.555645739	-0.487175845	-2.220479452	-0.004580583	-0.208837444	-0.469916756	-0.179520116	-0.343709692	-0.064615322
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	-0.175602837	0.375498017	-6.826063434	-3.943656664	-6.978084552	0.513974209	-3.810011389	-2.036696515	-4.012300638	-6.716957206	-4.312424222	-6.921446315	1.345032492	-0.115320516	-1.561421635NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium	-0.043310421	-0.726307634	-1.784951114	-0.670349561	-2.885060326	-0.643164696	-1.699550728	-0.573475629	-2.787408053	-0.789516359	0.090047016	-1.631561505	0.997358332	-0.382633933	-1.940551155NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	0.096140778	-0.188471684	4.978887805	3.922544894	3.776992961	-0.417016095	6.288840595	5.5140276	3.995956566	5.841383465	4.798819804	4.286737584	-0.550839926	0.179361327	0.640509114	0.925421848	0.577381292	0.333396101	-0.219380175	-0.538819067	-0.204998151
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	0.078164164	0.55559264	0.161552536	0.799482279	1.157607794	0.415172311	0.057084647	0.634486299	0.972237634	-0.439364659	0.135805313	0.401946148	0.74236449	1.192848805	0.229903617	-3.955929595	-1.299985282	-4.151072969	0.593340195	-0.021273582	-0.592212661
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.Other.Other	0.432212785	0.14136488	0.010027308	-0.316252003	0.634640165	-0.1661874	-0.438580542	-0.927658552	-0.005097532	-0.136079078	-0.443544455	0.200113494	-0.356500724	0.679779397	1.542564578	-0.617875734	-1.201634335	-0.299580548	-0.307521935	0.458991069	1.0201297
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	-0.766605227	-1.286393442	-2.347994203	-2.164407332	-2.585180751	-0.298452935	-1.146583079	-1.786083502	-2.115999518	-0.623031528	-1.535791285	-1.80402143	-1.048059507	-1.198428654	0.024730901NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	-0.228610142	-0.022410801	0.357692626	0.967905821	0.526663817	0.18906345	0.684513833	1.488719438	0.948001322	0.378728028	0.966257189	0.543687948	0.296252771	0.054676588	-0.265520806	-0.440190692	-0.262323992	0.336250148	0.158533521	0.883658666	0.703251611
