"bugNames"	"pValuesTime"	"pValuesVolume"	"pValuesGroup"	"pValuesFobVsDIO"	"pValuesFobVsHCCR"	"pValuesFobVsLCCR"	"pValuesFobVsICR"	"pValuesHCCRVsLCCR"	"pValuesLog10VolumeWithDirection"	"bugIndex"	"corCoeffVolumeBug"	"pValuesAdjustedTime"	"pValuesAdjustedVolume"	"pValuesAdjustedGroup"	"pValuesFobVsDIOAdjusted"	"pValuesFobVsHCCRAdjusted"	"pValuesFobVsLCCRAdjusted"	"pValuesFobVsICRAdjusted"	"pValuesHCCRVsICCRAdjusted"
"MDS2"	0.019637365491149	0.00299076708775592	5.88418203051333e-14	0.00104558634934238	9.55747364259065e-05	6.89118349050524e-08	1.91163113839863e-05	0.000165296585938575	-2.52421740724317	234	0.185346917076357	0.0487710876442123	0.0081348864786961	4.00124378074906e-12	0.00789998575058685	0.000722120230773516	2.34300238677178e-06	0.00111088879199233	0.0112401678438231
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__"	0.883851689131645	0.000100313498315074	1.39417366540329e-11	9.28539945755588e-06	0.907638448314142	0.0284609264314317	0.580502471195622	0.00837678022003072	3.99864062381589	51	-0.27159168131112	0.910635073650786	0.000524716760417312	4.74019046237117e-10	0.000217766461188669	0.921185290826293	0.0841453477103199	0.731003111875969	0.113924210992418
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__"	0.393478238479219	4.54367710123194e-08	1.21638366046284e-09	0.352065394627863	3.34845927618623e-05	3.37677446934755e-08	7.41253804229602e-05	0.00210450904085194	7.34259253956287	102	-0.43215297370009	0.477795003867623	1.02990014294591e-06	2.7571362970491e-08	0.511468052728027	0.000325278901115234	2.29620663915634e-06	0.00120789456056171	0.0715533073889659
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__"	1.29211974453369e-10	7.66289265374809e-09	2.68243183221273e-08	5.42355891419051e-06	0.01029958119343	0.0210920943498313	0.00683252199920393	0.75414189296338	8.1156072582501	104	-0.399648957955516	8.06798716723733e-09	2.79351243470671e-07	4.56013411476164e-07	0.000217766461188669	0.0291821467147183	0.0682982102756441	0.0244532366287299	0.896046964128387
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12"	2.37293740212863e-10	3.94823871374683e-07	4.00854558213481e-07	0.000730944450709838	4.9280153729708e-07	0.000367144537540365	0.000124342087116647	0.588894571191431	-6.40359659740846	50	0.356500596088921	8.06798716723733e-09	4.47467054224641e-06	5.45162199170335e-06	0.007100603235467	3.35105045362014e-05	0.00416097142545747	0.00120789456056171	0.835417397954299
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes"	0.226104788238868	0.19209364570615	1.18779656088641e-06	0.0435616024436719	0.496686717038588	0.0501811809402522	0.0715079048878988	0.0961217753253825	0.716487000991497	113	-0.101244947668447	0.301142996393734	0.271730044582371	1.34616943567127e-05	0.12342454025707	0.649513399204307	0.12186858228347	0.187765705931266	0.550823929645057
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella"	0.00176307974897871	0.000369021146508386	3.90557393292745e-06	0.0432682768673962	1.18052318499366e-05	0.0031285331000077	0.000637828396850042	0.535553712918246	3.43294874617492	181	-0.305888428187025	0.00705231899591485	0.00155299058736968	3.79398610627238e-05	0.12342454025707	0.000160551153159138	0.0151957322000374	0.00361436091548357	0.823046316285646
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus"	0.170672616153389	0.0216623639943883	4.86207049987808e-06	1.5901447480457e-05	0.000274144732351916	0.00140155236135901	0.174726520911766	0.708396180049475	-1.66429415095649	97	0.188475405417711	0.246930593583627	0.0491737928163487	4.13275992489637e-05	0.000270324607167768	0.00133156012856645	0.00953055605724124	0.356773770813439	0.89205444895119
"MDS1"	0.00122548623029017	2.94330360639528e-07	5.80845708264555e-06	0.000438816977036807	0.000210017013392665	0.0159611031304279	0.00321224280560287	0.0822375253825359	-6.531164937431	233	0.413415278020828	0.00520831647873324	4.47467054224641e-06	4.38861201799886e-05	0.00497325907308381	0.0011900964092251	0.0571239480457418	0.0121351394878331	0.550823929645057
"k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__"	0.225465293361968	0.36073018380261	9.35083175468421e-06	0.00452650846680847	0.336819354068451	0.898229221792744	0.547885731549524	0.272623961318189	0.442817516926236	223	-0.115719807069294	0.301142996393734	0.453101017925045	6.35856559318526e-05	0.0205201717161984	0.508971468370104	0.911635628088158	0.702947731044672	0.63925618515989
