"bugNames"	"pValuesTime"	"pValuesTumor"	"pValuesGroup"	"bugIndex"	"pValuesFobVsSG"	"pValuesLog10VolumeWithDirection"	"corCoeffVolumeBug"	"pValuesAdjustedTime"	"pValuesAdjustedTumor"	"pValuesAdjustedGroup"	"pValuesFobVsSGAdjusted"
"k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__"	0.000233728800394295	2.43437213409692e-06	7.62080268668086e-07	111	0.231055471027811	5.61361303192709	-0.442224027697676	0.000690056458306966	0.000150931072314009	4.72489766574213e-05	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter"	0.731099045306791	0.0012059194039491	5.5897657311732e-06	43	0.104462271564059	2.91868171673137	-0.341466886338057	0.81281690520063	0.018691750761211	0.000173282737666369	0.683999114346682
"k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other"	2.79563483474021e-10	5.08527014437821e-05	2.38883165264436e-05	108	0.313431162019878	4.29368597113918	-0.330747733308521	2.88882266256489e-09	0.00105095582983816	0.000493691874879835	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__"	0.00741535547241501	1.70943583677197e-05	8.53142727739176e-05	48	0.0670011789703487	4.76714719569151	-0.45593839192339	0.0164197156889189	0.00052992510939931	0.00132237122799572	0.683999114346682
"MDS2"	0.857842246593754	0.0161947978058251	0.00146830199407022	120	0.719969977739745	1.79062446984353	-0.316321703325048	0.901461343878182	0.125509682995145	0.0172537591625567	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	0.748971908577677	0.233226059795645	0.00166971862863452	56	0.241353539452201	-0.632222924782962	0.139765518368805	0.814671198803789	0.556154450281923	0.0172537591625567	0.817843616028601
"k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__"	2.57304517692347e-08	0.0393430082687443	0.00354577520090282	110	0.83147488352283	1.40513243586136	-0.222259112956199	1.59528800969255e-07	0.243926651266214	0.0314054374937107	0.933270033950452
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.000111071136787544	0.543926039274216	0.00582705077743273	14	0.70035524479424	-0.26446014978492	0.0936628177998436	0.000362442656885669	0.804366190141345	0.0451596435251037	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other"	0.000505027416263681	0.943011887912393	0.0109360511883827	64	0.996543748517196	0.0254828323716738	-0.00222728780042989	0.00130465415868118	0.996532494968775	0.0702022223552414	0.996543748517196
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus"	0.000334080369068346	0.745020869937162	0.0113229390895551	38	0.411803588217214	-0.127831561383791	0.0360933991477946	0.000941499221919884	0.879476355354347	0.0702022223552414	0.851060748982242
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__"	0.01882295957336	0.0270471684586018	0.0156611193271095	20	0.794578451777301	1.5678781940388	-0.289679172315177	0.03764591914672	0.186324938270368	0.0882717634800715	0.933270033950452
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia"	0	0.95615079113397	0.0237397365940473	11	0.343436396137914	0.0194736112874864	-0.00120154387088198	0	0.996532494968775	0.122655305735911	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis"	0.0993532968598511	0.0157773193456483	0.0300158908201766	51	0.0424650355982781	1.80196678390789	-0.332536662451814	0.150241570861238	0.125509682995145	0.143152710065458	0.683999114346682
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus"	9.75555777151804e-05	0.116366726290529	0.034636003012442	41	0.369348729819368	-0.934171183382072	0.175165553226426	0.000355790930490658	0.5127579030689	0.153388013340814	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus"	0.0101814999467398	0.00216066005007876	0.0443010162805242	66	0.0957150193516541	-2.66541355796115	0.419595150881348	0.0210417665565955	0.0267921846209766	0.173359010250261	0.683999114346682
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other"	0.0678193056218981	0.383888634015723	0.0447378090968416	44	0.0449070701876621	-0.415794746067868	0.112866004881633	0.105119923713942	0.770816626345602	0.173359010250261	0.683999114346682
"Unassigned.Other.Other.Other.Other.Other"	0.472035707248968	0.728543764538607	0.0609654095689681	2	0.670698997460616	-0.137544354495596	0.0447113397735595	0.597269670396654	0.879476355354347	0.22234443489859	0.933270033950452
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__"	0.802827150922047	0.325003680026425	0.086681058321632	81	0.973371838496771	0.488111721463829	-0.128367116430485	0.858194540640808	0.746304746727346	0.283086246661632	0.989328753881964
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__"	1.69564581486981e-05	0.444486319269676	0.0896247547381893	75	0.245168489768642	-0.35214160152644	0.0839471896993474	7.50928860870914e-05	0.787375765563425	0.283086246661632	0.817843616028601
"MDS10"	0.294596065456767	0.852908807882826	0.0922741528129351	128	0.797255362151291	0.0690974006618179	-0.0240195778381401	0.388616086347224	0.927725369977811	0.283086246661632	0.933270033950452
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other"	0.191730329970508	0.168483987036722	0.0958840512886174	12	0.410625717319168	0.773441368810776	-0.177470630261924	0.276448382748175	0.5127579030689	0.283086246661632	0.851060748982242
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus"	0.656827030053753	0.0854883336634351	0.111702743221142	78	0.438156094891334	-1.06809314809396	0.273884200098102	0.768363695534579	0.441689723927748	0.308749422140829	0.876312189782668
"k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	5.77315972805081e-15	0.175826870782103	0.114536075955469	26	0.648178821310772	-0.754914753035716	0.0893155366301602	8.94839757847876e-14	0.5127579030689	0.308749422140829	0.933270033950452
"MDS5"	0.627825656392567	0.678851288893655	0.138162612981482	123	0.105171502310678	-0.168225353092679	0.0454851605942676	0.763239033261552	0.879476355354347	0.333671593541639	0.683999114346682
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter"	0.000631109932694329	0.554483145305699	0.138647555826791	21	0.510028579623902	0.256111650618482	-0.07232199543757	0.00156515263308194	0.804366190141345	0.333671593541639	0.930052115784763
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia"	0.00562044594773692	0.69951160405175	0.139926797291655	55	0.272332585469452	-0.155205076692036	0.0500558877828117	0.0129062092133218	0.879476355354347	0.333671593541639	0.817843616028601
