taxa	IERGroupPValue	IERTimePValue	IERTumorPValue	SleeveGroupPValue	SleeveTimePValue	SleeveTumorPValue
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	1.39E-11	0.883851689	0.000100313	0.015661119	0.01882296	0.027047168
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	0.012258032	0.116352274	0.003202618	0.044301016	0.0101815	0.00216066
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	4.86E-06	0.170672616	0.021662364	0.034636003	9.76E-05	0.116366726
Unassigned.Other.Other.Other.Other.Other	0.002564931	0.181705302	0.393999881	0.06096541	0.472035707	0.728543765
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	0.001302489	0.004395897	0.002909285	0.023739737	0	0.956150791
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	0.003708838	0.341607315	8.22E-09	0.095884051	0.19173033	0.168483987
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	0.283576255	0.062648564	0.199801503	0.733321759	0.00871324	0.751324205
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	0.004146024	0.619515785	0.000388248	0.523526752	0.025132356	0.44079265
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	2.68E-08	1.29E-10	7.66E-09	8.53E-05	0.007415355	1.71E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	7.01E-05	0.13654953	0.053036103	0.528560928	2.43E-13	0.794763613
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	0.001839541	0.486451608	0.02169432	0.003545775	2.57E-08	0.039343008
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	2.27E-05	0.632217878	9.55E-06	0.138647556	0.00063111	0.554483145
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	4.01E-07	2.37E-10	3.95E-07	0.36223089	7.79E-06	0.181566197
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	2.88E-05	0.000446679	9.44E-05	0.255039023	3.66E-15	0.190216642
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	7.50E-05	0.630772712	5.34E-07	0.478376865	0.197266034	0.2142659
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	0.456392077	0.001088538	0.823942172	0.354949243	0.047163441	0.515245036
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.038342463	0.221623103	0.164063858	0.005827051	0.000111071	0.543926039
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	3.91E-06	0.00176308	0.000369021	0.870549518	7.11E-05	0.751810433
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	0.000105104	0.025587968	0.011973593	0.771152367	9.89E-10	0.397840839
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	0.000563118	0.001068671	3.42E-07	0.086681058	0.802827151	0.32500368
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	0.004339866	0.00036378	0.023338551	0.938487028	8.55E-09	0.374139006
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other	0.453116598	0.023543584	0.058868513	0.853716098	0.066612725	0.999495832
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	0.414106098	0.169990575	0.008959802	0.111702743	0.65682703	0.085488334
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	0.000296153	0.230285821	7.61E-05	2.39E-05	2.80E-10	5.09E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other	0.059789226	0.02480796	0.027066779	0.010936051	0.000505027	0.943011888
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	1.22E-09	0.393478238	4.54E-08	0.567989533	7.50E-07	0.394661252
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	4.46E-05	0.000104042	3.55E-05	0.635716503	2.30E-05	0.065132766
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	0.000127514	0.000766482	3.02E-05	0.729009202	7.95E-10	0.579871855
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	0.000122836	0.953730906	0.000153733	0.044737809	0.067819306	0.383888634
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	0.367293697	0.80045636	0.052562461	0.139926797	0.005620446	0.699511604
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	0.014195633	0.094471322	0.240234686	0.17569434	0	0.841089679
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	0.136538376	0.340583651	0.159306695	0.532591916	0.041318498	0.444141629
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.0001704	0.029512591	0.00026797	0.916657495	0.039108445	0.203906712
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	0.067861745	0.056085689	0.955127606	0.089624755	1.70E-05	0.444486319
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	0.348153801	0.01856041	0.031312598	0.011322939	0.00033408	0.74502087
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	0.000404318	0.683135332	0.071340122	0.418173562	0.000230192	0.350630425
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	4.57E-05	0.000269338	0.002263939	5.59E-06	0.731099045	0.001205919
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	0.000561505	0.936727733	0.002535475	0.792988847	0.162227863	0.500456477
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	0.825067275	0.021092338	0.038348453	0.114536076	5.77E-15	0.175826871
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.Other.Other	0.481864617	3.91E-05	0.622662342	0.609009155	0.571276597	0.133524527
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus.	0.051359533	0.009844783	0.366478764	0.177460207	0.000448029	0.176290199
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	0.051091818	0.000247234	0.000625502	0.21382663	0.048647433	0.095725523
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	0.129163961	0.000213753	0.002320265	0.280883452	0.028019598	0.565628159
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	0.365894116	0.002114284	0.711148308	0.632852138	0.235805986	0.132817951
