bugNames	pValues	log10PValues	xGroup	yGroup	xSampleSize	ySampleSize	meanXGroup	meanYGroup	pValuesAdjusted
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	1.69E-17	-16.77126346	DIO	HCCR	18	19	0.963093498	6.332804488	1.47E-14
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	3.91E-13	12.40729577	DIO	HCCR	18	19	8.362121513	6.943226293	1.70E-10
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	3.36E-12	-11.4733053	DIO	LCCR	18	20	1.920978233	7.34575169	7.62E-10
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	4.22E-12	-11.3743761	DIO	ICR	18	20	0.963093498	5.807389479	7.62E-10
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	4.38E-12	-11.358752	DIO	ICR	18	20	1.920978233	7.877533361	7.62E-10
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	8.94E-12	-11.0486468	DIO	HCCR	18	19	1.920978233	7.625452253	1.30E-09
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	3.22E-11	10.49281071	DIO	LCCR	18	20	8.362121513	7.020900885	4.00E-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	5.11E-11	-10.29132434	DIO	LCCR	18	20	2.053652222	4.126178274	5.24E-09
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	5.42E-11	10.26570681	DIO	ICR	18	20	8.362121513	7.127332301	5.24E-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	6.33E-11	10.19870843	DIO	ICR	18	20	9.328309701	8.337981388	5.51E-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	1.01E-10	9.995524256	DIO	HCCR	18	19	9.328309701	8.286532739	7.99E-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	1.48E-10	9.828962226	DIO	ICR	18	20	2.622779227	0.764703845	1.07E-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	1.65E-10	9.783049209	DIO	ICR	18	20	8.072014868	5.073213962	1.10E-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	2.04E-10	-9.690429353	Control	LCCR	18	20	2.046664561	4.126178274	1.27E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	3.56E-10	-9.448041226	DIO	ICR	18	20	8.014566357	9.430796646	2.02E-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	3.84E-10	-9.415597969	FOb	LCCR	17	20	2.266063811	4.126178274	2.02E-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	3.95E-10	-9.403495177	DIO	ICR	18	20	3.836208412	6.556521091	2.02E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	5.10E-10	9.292585987	Control	DIO	18	18	10.45807383	9.009324542	2.46E-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	5.55E-10	9.255380478	DIO	LCCR	18	20	9.328309701	8.506047849	2.54E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	1.23E-09	8.910431276	FOb	HCCR	17	19	7.810478196	6.943226293	5.35E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	1.32E-09	-8.880755148	DIO	LCCR	18	20	0.965072589	3.083881735	5.45E-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	1.53E-09	-8.816360396	DIO	FOb	18	17	1.920978233	6.426283048	5.91E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	1.61E-09	-8.792014345	DIO	LCCR	18	20	5.245266012	7.508627185	5.91E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	1.63E-09	-8.787494721	DIO	ICR	18	20	0.965072589	3.100605967	5.91E-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	1.84E-09	8.734269032	DIO	HCCR	18	19	9.156542138	8.109955749	6.42E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	1.99E-09	-8.700719539	DIO	LCCR	18	20	8.014566357	9.349062836	6.67E-08
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	2.29E-09	-8.639552542	DIO	HCCR	18	19	0.965072589	3.032071125	7.39E-08
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	2.41E-09	-8.61756879	DIO	HCCR	18	19	1.858236411	4.55541109	7.50E-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	2.68E-09	8.572285607	DIO	HCCR	18	19	8.072014868	5.947147941	8.03E-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	3.26E-09	-8.486892963	DIO	LCCR	18	20	3.836208412	6.637955343	9.45E-08
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	7.46E-09	-8.127172103	DIO	ICR	18	20	1.858236411	4.153312554	2.09E-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	1.01E-08	-7.996231093	Control	ICR	18	20	8.425083159	9.430796646	2.74E-07
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	1.22E-08	7.91490421	DIO	LCCR	18	20	8.072014868	5.666460962	3.21E-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	1.31E-08	-7.883692292	DIO	LCCR	18	20	0.963093498	4.945698897	3.34E-07
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	1.80E-08	7.74551931	Control	DIO	18	18	4.013216473	0.500285695	4.47E-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	1.88E-08	7.725495582	Control	DIO	18	18	5.683119602	1.920978233	4.55E-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	2.04E-08	7.690291666	DIO	LCCR	18	20	9.156542138	8.123413372	4.80E-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	2.70E-08	-7.568197579	Control	ICR	18	20	4.77824533	6.556521091	6.16E-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	2.76E-08	7.558747462	DIO	HCCR	18	19	5.28117877	3.819245671	6.16E-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	2.84E-08	-7.546251767	DIO	HCCR	18	19	9.009324542	10.17968768	6.18E-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	3.00E-08	-7.522551862	DIO	HCCR	18	19	8.014566357	9.222575355	6.37E-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	3.19E-08	-7.495788737	DIO	FOb	18	17	9.009324542	10.15551923	6.61E-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	3.48E-08	7.457927044	DIO	HCCR	18	19	2.622779227	1.060417419	7.05E-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	3.70E-08	-7.43180362	DIO	ICR	18	20	9.009324542	10.15496917	7.32E-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	4.54E-08	-7.343178722	DIO	HCCR	18	19	2.053652222	3.597112959	8.74E-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	4.62E-08	-7.335314735	Control	DIO	18	18	5.849458425	7.466927032	8.74E-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	5.22E-08	-7.282035016	Control	HCCR	18	19	2.189568203	4.55541109	9.67E-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	7.49E-08	-7.125422442	Control	LCCR	18	20	8.504078828	9.522699412	1.34E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	7.57E-08	7.120727371	DIO	ICR	18	20	9.156542138	8.089665522	1.34E-06
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	1.05E-07	-6.978084552	Control	LCCR	18	20	3.287157819	4.576252103	1.83E-06
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	1.10E-07	-6.956902633	DIO	HCCR	18	19	3.836208412	6.430945996	1.88E-06
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	1.20E-07	-6.921446315	FOb	LCCR	17	20	3.112110091	4.576252103	2.00E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	1.27E-07	-6.897109928	Control	HCCR	18	19	2.046664561	3.597112959	2.08E-06
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	1.49E-07	-6.826063434	Control	HCCR	18	19	3.287157819	4.519062573	2.40E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	1.56E-07	6.808186434	Control	DIO	18	18	1.900708644	0	2.46E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	1.88E-07	6.724979695	Control	LCCR	18	20	1.900708644	0.046616524	2.93E-06
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	1.92E-07	-6.716957206	FOb	HCCR	17	19	3.112110091	4.519062573	2.93E-06
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	2.28E-07	-6.642737959	Control	ICR	18	20	8.504078828	9.452940828	3.36E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	2.28E-07	6.642175325	DIO	HCCR	18	19	7.466927032	5.974492417	3.36E-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	2.53E-07	-6.596562409	Control	ICR	18	20	2.189568203	4.153312554	3.67E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	2.60E-07	6.584320662	DIO	ICR	18	20	10.00320626	9.21963342	3.71E-06
