taxa	IERGroupPValue	IERTimePValue	IERTumorPValue	IERpValuesLog10VolumeWithDirection	IERcorCoeffVolumeBUG	SleeveGroupPValue	SleeveTimePValue	SleeveTumorPValue	SleevePValuesLog10VolumeWithDirection	SleeveCorCoeffVolumeBUG
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	0.003708838	0.341607315	8.22E-09	8.085328308	-0.513021616	0.095884051	0.19173033	0.168483987	0.773441369	-0.17747063
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	0.000563118	0.001068671	3.42E-07	6.466456511	-0.433059978	0.086681058	0.802827151	0.32500368	0.488111721	-0.128367116
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	1.22E-09	0.393478238	4.54E-08	7.34259254	-0.432152974	0.567989534	7.50E-07	0.394661252	-0.403775511	0.085508157
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	7.50E-05	0.630772712	5.34E-07	6.272338929	-0.429759718	0.478376865	0.197266034	0.2142659	0.669046941	-0.201229838
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	2.68E-08	1.29E-10	7.66E-09	8.115607258	-0.399648958	8.53E-05	0.007415355	1.71E-05	4.767147196	-0.455938392
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	2.27E-05	0.632217878	9.55E-06	5.019942795	-0.373913183	0.138647556	0.00063111	0.554483145	0.256111651	-0.072321995
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	0.000296153	0.230285821	7.61E-05	4.118386375	-0.367212357	2.39E-05	2.80E-10	5.09E-05	4.293685971	-0.330747733
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	0.000127514	0.000766482	3.02E-05	4.519887692	-0.344283088	0.729009202	7.95E-10	0.579871855	0.23666797	-0.076146574
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	0.004146024	0.619515785	0.000388248	3.410891168	-0.317622924	0.523526752	0.025132356	0.44079265	0.355765656	-0.122314869
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	0.000561505	0.936727733	0.002535475	2.595940672	-0.313141783	0.792988847	0.162227863	0.500456477	-0.300633686	0.106639406
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	4.57E-05	0.000269338	0.002263939	2.645135235	-0.30978804	5.59E-06	0.731099045	0.001205919	2.918681717	-0.341466886
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	3.91E-06	0.00176308	0.000369021	3.432948746	-0.305888428	0.870549518	7.11E-05	0.751810433	-0.123891652	0.048905948
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	0.001839541	0.486451608	0.02169432	1.663653951	-0.28473663	0.003545775	2.57E-08	0.039343008	1.405132436	-0.222259113
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	0.129163961	0.000213753	0.002320265	2.634462342	-0.279189048	0.280883452	0.028019598	0.56562816	-0.247468978	0.073880461
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	1.39E-11	0.883851689	0.000100313	3.998640624	-0.271591681	0.015661119	0.01882296	0.027047168	1.567878194	-0.289679172
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	0.414106098	0.169990575	0.008959802	2.047701595	-0.264316606	0.111702743	0.65682703	0.085488334	-1.068093148	0.2738842
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	0.001302489	0.004395897	0.002909285	2.536213771	-0.257969866	0.023739737	0	0.956150791	0.019473611	-0.001201544
Unassigned.Other.Other.Other.Other.Other	0.002564931	0.181705302	0.393999881	0.404503909	-0.221492855	0.06096541	0.472035707	0.728543765	-0.137544354	0.04471134
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	0.367293697	0.80045636	0.052562461	1.279324308	-0.214701962	0.139926797	0.005620446	0.699511604	-0.155205077	0.050055888
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other	0.453116598	0.023543584	0.058868513	1.230116936	-0.186405721	0.853716098	0.066612725	0.999495833	0.000219012	-0.016437482
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.038342463	0.221623103	0.164063858	0.784987079	-0.170486404	0.005827051	0.000111071	0.543926039	-0.26446015	0.093662818
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	9.35E-06	0.225465293	0.360730184	0.442817517	-0.115719807	7.62E-07	0.000233729	2.43E-06	5.613613032	-0.442224028
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	0.136538376	0.340583651	0.159306695	0.797765972	-0.051602725	0.532591916	0.041318498	0.444141629	0.352478519	-0.122422161
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.Other.Other	0.481864617	3.91E-05	0.622662342	0.205747399	-0.04058837	0.609009155	0.571276597	0.133524527	-0.87443895	0.204691722
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis	0.812870603	0.379003929	0.688362468	0.162182817	-0.014228221	0.030015891	0.099353297	0.015777319	1.801966784	-0.332536662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	0.067861745	0.056085689	0.955127606	-0.019938603	0.006395367	0.089624755	1.70E-05	0.444486319	-0.352141602	0.08394719
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	0.456392077	0.001088538	0.823942172	-0.084103268	0.022016136	0.354949243	0.047163441	0.515245036	0.287986183	-0.112408588
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	0.365894116	0.002114284	0.711148308	-0.148039819	0.038422231	0.632852138	0.235805986	0.132817951	-0.876743223	0.216428667
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	0.0445133	0.478487848	0.357769096	-0.446397176	0.117129441	0.001669719	0.748971909	0.23322606	-0.632222925	0.139765518
