bugNames	pValues	log10PValues	xGroup	yGroup	xSampleSize	ySampleSize	meanXGroup	meanYGroup	pValuesAdjusted
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	8.22E-10	9.084875165	Control	SG	9	10	6.092311165	0.072270598	2.32E-07
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	6.03E-09	8.219651859	Control	DIO	9	5	6.092311165	0	8.50E-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	7.06E-05	-4.151072969	Control	SG	9	10	0.599447578	3.255809183	0.00663827
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	0.00011068	-3.955929595	Control	DIO	9	5	0.599447578	3.225756481	0.007802963
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	0.000183509	-3.736341652	Control	DIO	9	5	1.39452062	4.266561235	0.009876808
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	0.000210145	-3.677481233	Control	FOb	9	7	1.39452062	4.179742625	0.009876808
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	0.000487433	3.312085111	Control	FOb	9	7	6.092311165	0.964546131	0.018315157
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.000519579	3.284348478	DIO	SG	5	10	9.096274428	7.725677665	0.018315157
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	0.000795515	3.099351889	Control	DIO	9	5	6.580875658	1.625591346	0.022554457
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	0.000848938	3.071124259	Control	DIO	9	5	3.689486313	0	0.022554457
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	0.000879784	3.055624039	Control	DIO	9	5	4.293238107	0.290322765	0.022554457
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.000972035	-3.012317905	Control	SG	9	10	7.905495899	9.272548776	0.022842833
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	0.001459309	2.835852673	Control	SG	9	10	3.689486313	0.411596544	0.029980552
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	0.001488396	2.827281444	Control	SG	9	10	4.293238107	0.610720163	0.029980552
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	0.002024883	2.693600107	Control	SG	9	10	2.655923526	0.160743591	0.035086588
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	0.002083326	2.681242769	DIO	SG	5	10	7.436960452	6.202572059	0.035086588
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	0.002157593	2.666030529	Control	FOb	9	7	2.655923526	0.188822263	0.035086588
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	0.002239569	-2.649835465	DIO	FOb	5	7	1.625591346	5.735010804	0.035086588
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	0.002428778	2.614612221	Control	DIO	9	5	10.45406975	9.270238385	0.036048175
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.006806015	-2.167107107	Control	FOb	9	7	7.905495899	9.453107692	0.09596481
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	0.011286034	1.947458632	Control	SG	9	10	5.646679485	2.83878396	0.148887544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.011882627	1.92508753	DIO	FOb	5	7	9.096274428	8.508690321	0.148887544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.01214331	-1.915662907	Control	DIO	9	5	8.452272677	9.096274428	0.148887544
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	0.014707892	1.832449573	Control	SG	9	10	8.514736078	5.550278939	0.172817729
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	0.015862947	-1.799616133	Control	SG	9	10	6.690411468	7.945300357	0.176726862
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	0.016879595	1.772637966	DIO	SG	5	10	10.25960062	9.574488215	0.176726862
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other	0.017063058	-1.767943145	Control	SG	9	10	4.706681871	6.035089896	0.176726862
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	0.017845478	-1.74847182	DIO	SG	5	10	1.625591346	4.556565284	0.176726862
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	0.018674202	1.728757955	Control	DIO	9	5	2.243949277	0	0.176726862
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	0.0197242	1.705000605	Control	FOb	9	7	3.689486313	0.813856116	0.176726862
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.019945338	1.700158607	FOb	SG	7	10	8.508690321	7.725677665	0.176726862
